(706.30,583.43)
(707.09,582.25)
(706.44,588.12)
(706.44,588.12)
(707.59,586.97)
(706.80,587.69)
(706.80,587.69)
(706.00,587.06)
(706.49,586.83)
(699.79,588.89)
(698.65,587.20)
(697.99,587.79)
(696.00,587.27)
(696.00,587.27)
(692.80,586.16)
(691.60,588.76)
(691.60,588.76)
(688.71,589.17)
(689.90,592.05)
(688.98,593.09)
(688.98,593.09)
(687.74,591.24)
(686.88,596.31)
(686.88,596.31)
(687.95,593.91)
(685.05,591.71)
(685.55,595.58)
(685.55,595.58)
(687.56,593.78)
(684.72,595.17)
(683.54,597.21)
(683.54,597.21)
(683.92,599.19)
(683.94,598.37)
(683.94,598.37)
(687.04,595.69)
(688.98,598.34)
(690.91,598.22)
(690.91,598.22)
(688.21,601.11)
(689.45,598.67)
(689.45,598.67)
(685.05,600.03)
(685.05,604.25)
(685.05,604.25)
(685.69,605.61)
(682.21,601.22)
(683.61,598.10)
(683.61,598.10)
(682.10,599.44)
(682.55,594.26)
(682.55,594.26)
(683.31,593.08)
(683.04,592.65)
(687.86,586.09)
(687.86,586.09)
(687.70,586.52)
(688.17,587.51)
(686.84,586.68)
(686.84,586.68)
(673.26,575.78)
(673.96,596.25)
(673.96,596.25)
(675.32,595.93)
(673.04,588.33)
(672.01,586.28)
(672.01,586.28)
(673.74,584.21)
(672.08,582.09)
(672.08,582.09)
(672.02,578.93)
(668.37,571.21)
(668.37,571.21)
(669.58,569.28)
(668.01,565.35)
(671.16,567.08)
(671.16,567.08)
(668.21,566.87)
(667.95,566.08)
(667.95,566.08)
(673.98,563.61)
(672.86,563.80)
(674.94,564.60)
(674.94,564.60)
(676.94,561.62)
(674.96,562.37)
(674.96,562.37)
(670.63,561.19)
(672.81,560.91)
