(551.74,543.76)
(551.74,543.17)
(551.29,543.01)
(550.37,540.56)
(550.37,540.56)
(547.60,537.32)
(547.73,537.26)
(547.73,537.26)
(550.05,542.26)
(550.34,541.80)
(548.19,538.56)
(551.09,539.48)
(551.70,537.00)
(552.91,538.77)
(552.91,538.77)
(554.02,540.04)
(556.30,538.84)
(556.30,538.84)
(556.13,536.55)
(558.15,533.98)
(558.15,533.98)
(559.19,535.38)
(558.02,535.94)
(559.13,536.88)
(559.13,536.88)
(557.30,535.18)
(554.76,535.15)
(554.76,535.15)
(554.44,535.80)
(556.59,537.50)
(558.87,536.65)
(558.87,536.65)
(560.69,536.20)
(562.12,534.67)
(562.22,534.51)
(562.22,534.51)
(562.68,532.87)
(561.47,533.00)
(561.47,533.00)
(560.85,531.43)
(560.69,532.41)
(560.69,532.41)
(557.72,531.36)
(556.77,529.40)
(553.28,526.00)
(553.28,526.00)
(553.35,525.81)
(553.09,525.09)
(553.09,525.09)
(552.49,520.46)
(549.92,518.46)
(547.61,517.25)
(547.61,517.25)
(548.93,511.94)
(549.94,509.30)
(549.94,509.30)
(550.23,508.88)
(550.39,505.22)
(550.75,505.35)
(550.75,505.35)
(549.67,500.30)
(547.03,497.82)
(543.58,494.43)
(543.58,494.43)
(540.69,493.38)
(540.39,491.92)
(540.39,491.92)
(542.93,493.51)
(540.17,495.14)
(540.17,495.14)
(538.60,496.31)
(539.71,496.18)
(541.96,497.13)
(541.96,497.13)
(538.51,499.15)
(541.57,499.35)
(541.57,499.35)
(544.24,498.83)
(543.85,499.22)
(544.62,496.87)
(544.62,496.87)
(546.64,498.60)
(547.98,498.86)
(543.45,498.14)
(543.45,498.14)
(544.20,501.34)
(542.97,499.97)
(542.97,499.97)
(545.28,501.37)
