(767.54,168.73)
(767.69,166.99)
(763.18,170.67)
(762.11,171.74)
(762.11,171.74)
(756.49,163.40)
(745.85,150.13)
(745.85,150.13)
(707.26,159.33)
(705.32,152.68)
(716.41,179.14)
(709.24,171.70)
(705.08,164.69)
(705.08,164.69)
(698.42,161.10)
(701.71,162.36)
(698.77,158.10)
(698.77,158.10)
(702.26,161.66)
(704.16,165.07)
(703.04,165.15)
(703.04,165.15)
(709.33,162.88)
(706.60,162.95)
(706.60,162.95)
(707.02,161.27)
(706.30,164.43)
(709.08,163.84)
(709.08,163.84)
(709.29,165.66)
(709.11,167.94)
(709.11,167.94)
(705.52,168.85)
(705.23,170.06)
(728.96,146.02)
(728.96,146.02)
(795.86,130.17)
(788.18,121.92)
(788.18,121.92)
(772.20,124.77)
(686.25,90.81)
(647.51,115.72)
(647.51,115.72)
(688.04,135.96)
(645.16,146.48)
(645.16,146.48)
(630.18,172.34)
(591.73,149.20)
(591.73,149.20)
(615.54,134.23)
(639.41,143.69)
(622.35,145.16)
(622.35,145.16)
(620.63,149.93)
(619.36,145.58)
(619.36,145.58)
(620.48,144.77)
(620.69,144.04)
(615.42,144.69)
(615.42,144.69)
(601.09,151.79)
(595.66,150.99)
(595.66,150.99)
(594.52,152.94)
(585.53,159.92)
(588.76,156.91)
(588.76,156.91)
(590.40,157.64)
(589.52,160.87)
(589.52,160.87)
(586.69,165.64)
(578.93,168.75)
(578.71,171.48)
(578.71,171.48)
(577.72,170.76)
(584.90,195.71)
(584.90,195.71)
(738.21,190.63)
(702.59,99.66)
(697.86,109.29)
(697.86,109.29)
(695.40,105.29)
(710.57,113.26)
(714.98,114.54)
(714.98,114.54)
(686.49,106.22)
(678.58,108.14)
(678.58,108.14)
